-9.0,-5.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0
9.0,5.0,0.0,0.0,0.0,-9.0,-5.0,0.0,0.0,0.0
-9.0,-5.0,0.0,0.0,3.14,9.0,5.0,0.0,0.0,3.14
9.0,5.0,0.0,0.0,3.14,-9.0,-5.0,0.0,0.0,3.14
-9.0,-5.0,0.0,0.0,3.14,9.0,5.0,0.0,0.0,0.0
9.0,5.0,0.0,0.0,3.14,-9.0,-5.0,0.0,0.0,0.0
-9.0,-5.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,3.14
9.0,5.0,0.0,0.0,0.0,-9.0,-5.0,0.0,0.0,3.14
-9.0,-5.0,0.0,0.0,0.0,9.0,-5.0,0.0,0.0,0.0
9.0,-5.0,0.0,0.0,0.0,-9.0,-5.0,0.0,0.0,0.0
-9.0,-5.0,0.0,0.0,3.14,9.0,-5.0,0.0,0.0,3.14
9.0,-5.0,0.0,0.0,3.14,-9.0,-5.0,0.0,0.0,3.14
-9.0,-5.0,0.0,0.0,3.14,9.0,-5.0,0.0,0.0,0.0
9.0,-5.0,0.0,0.0,3.14,-9.0,-5.0,0.0,0.0,0.0
-9.0,-5.0,0.0,0.0,0.0,9.0,-5.0,0.0,0.0,3.14
9.0,-5.0,0.0,0.0,0.0,-9.0,-5.0,0.0,0.0,3.14
